KSTACK_HASH,KSTACK_SYMS
7618420301affc21,'dl_scaled_delta_exec+0x4e'
dfb4ae7ceeb9677e,'wait_woken+0x5b;sk_wait_data+0x17f;tcp_recvmsg_locked+0x24d;tcp_recvmsg+0x84;inet_recvmsg+0x54;sock_recvmsg+0xc6;__sys_recvfrom+0xcc;__x64_sys_recvfrom+0x24;x64_sys_call+0x1e47;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
afca310363b9553e,'select_idle_sibling+0x4ef'
a9cf1d2623328e6f,'lock_sock_nested+0x1b;tcp_recvmsg+0x6c;inet6_recvmsg+0x54;sock_recvmsg+0x63;sock_read_iter+0x8c;vfs_read+0x343;ksys_read+0xd8;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
d3a076c71668b935,'ip_output+0x5f;ip_local_out+0x61;__ip_queue_xmit+0x193;ip_queue_xmit+0x15;__tcp_transmit_skb+0xa86;tcp_write_xmit+0x5bb;__tcp_push_pending_frames+0x37;tcp_push+0x123;tcp_sendmsg_locked+0x9b9;tcp_sendmsg+0x2c;inet6_sendmsg+0x42;sock_write_iter+0x122;vfs_write+0x3ca;ksys_write+0xd8;__x64_sys_write+0x19;x64_sys_call+0x2c4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
ba73c7f169c48c6e,'smpboot_thread_fn+0x154;kthread+0xfe;ret_from_fork+0x47;ret_from_fork_asm+0x1a'
519ed40476b5a637,'sk_reset_timer+0x18'
b0b7fc03654d652f,'sched_balance_newidle+0x320'
8e45dc032ac578cf,'bpf_trace_run2+0x90'
e6d33ef86648b147,'irqentry_exit_to_user_mode+0x109;irqentry_exit+0x43;sysvec_call_function_single+0x57;asm_sysvec_call_function_single+0x1b'
a551960504ee65dd,'tcp_write_xmit+0x74a'
73b80e02fda683c5,'psi_group_change+0x222'
e26abf75c36c848d,'sock_write_iter+0x122;vfs_write+0x3ca;ksys_write+0xd8;__x64_sys_write+0x19;x64_sys_call+0x2c4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
b6532864cbdd5cc7,'xfs_ilock+0x9a;xfs_ilock_for_iomap+0x3a;xfs_read_iomap_begin+0xd2;iomap_iter+0xb5;__iomap_dio_rw+0x222;iomap_dio_rw+0x11;xfs_file_dio_read+0xcf;xfs_file_read_iter+0x126;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
ce392ed3e07239e3,'xfs_buf_lock+0x30;xfs_buf_find_lock+0x6a;xfs_buf_lookup.constprop.0+0x134;xfs_buf_get_map+0x101;xfs_buf_read_map+0x54;xfs_trans_read_buf_map+0x13b;xfs_btree_read_buf_block+0xa4;xfs_btree_lookup_get_block+0xa5;xfs_btree_visit_block+0x109;xfs_btree_visit_blocks+0xd7;xfs_iread_extents+0x11a;xfs_bmapi_read+0x13e;xfs_read_iomap_begin+0x142;iomap_iter+0xb5;__iomap_dio_rw+0x222;iomap_dio_rw+0x11;xfs_file_dio_read+0xcf;xfs_file_read_iter+0x126;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
af4932cd1c9427ad,'blk_io_schedule+0x22;__iomap_dio_rw+0x4dd;iomap_dio_rw+0x11;xfs_file_dio_read+0xcf;xfs_file_read_iter+0x126;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
b6a515616d8cbacc,'do_poll.constprop.0+0x306;do_sys_poll+0x187;__x64_sys_ppoll+0xde;x64_sys_call+0x2225;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
9adb990488e29874,'folio_wait_bit_common+0x138;filemap_update_page+0x24c;filemap_get_pages+0x2f4;filemap_read+0x11c;generic_file_read_iter+0xbb;xfs_file_buffered_read+0xa9;xfs_file_read_iter+0xad;vfs_read+0x2ab;ksys_read+0x72;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
6e7be6d9369ed820,'blk_mq_get_tag+0x154;__blk_mq_alloc_requests+0xbd;blk_mq_submit_bio+0x253;__submit_bio+0x75;__submit_bio_noacct+0x91;submit_bio_noacct_nocheck+0x1f8;submit_bio_noacct+0x16c;submit_bio+0xb1;iomap_readpage_iter+0x233;iomap_readahead+0x1cc;xfs_vm_readahead+0x15;read_pages+0x85;page_cache_ra_order+0x2a1;page_cache_async_ra+0x166;filemap_readahead.isra.0+0x76;filemap_get_pages+0x32d;filemap_read+0x11c;generic_file_read_iter+0xbb;xfs_file_buffered_read+0xa9;xfs_file_read_iter+0xad;vfs_read+0x2ab;ksys_read+0x72;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
aa59eaf1a36b4593,'__ip_finish_output+0xb6;ip_finish_output+0x2b;ip_output+0x5f;ip_local_out+0x61;__ip_queue_xmit+0x193;ip_queue_xmit+0x15;__tcp_transmit_skb+0xa86;__tcp_send_ack.part.0+0xc8;tcp_send_ack+0x1c;__tcp_cleanup_rbuf+0xa8;tcp_cleanup_rbuf+0x56;tcp_recvmsg_locked+0x2a6;tcp_recvmsg+0x84;inet_recvmsg+0x54;sock_recvmsg+0xc6;sock_read_iter+0x8c;vfs_read+0x343;ksys_read+0xd8;__x64_sys_read+0x19;x64_sys_call+0x1bd1'
1ea0d23c5770d322,'__wait_on_buffer+0x30;ext4_read_bh+0xa8;ext4_read_bh_lock+0x38;ext4_bread+0x5e;__ext4_read_dirblock+0x6a;htree_dirblock_to_tree+0x9a;ext4_htree_fill_tree+0x120;ext4_dx_readdir+0x259;ext4_readdir+0x649;iterate_dir+0xbe;__x64_sys_getdents64+0x83;x64_sys_call+0xed7;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
2facb90b7411a880,'__wait_on_buffer+0x30;__ext4_get_inode_loc+0x4d0;__ext4_get_inode_loc_noinmem+0x3e;__ext4_iget+0x18c;ext4_lookup+0x10c;__lookup_slow+0x85;walk_component+0x117;path_lookupat+0x6a;filename_lookup+0xee;vfs_statx+0x7a;vfs_fstatat+0x8e;__do_sys_newfstatat+0x44;__x64_sys_newfstatat+0x1c;x64_sys_call+0x248c;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
e802a732b3c1d7dc,'blk_mq_get_tag+0x154;__blk_mq_alloc_requests+0xbd;blk_mq_submit_bio+0x253;__submit_bio+0x75;__submit_bio_noacct+0x91;submit_bio_noacct_nocheck+0x1f8;submit_bio_noacct+0x16c;submit_bio+0xb1;iomap_readahead+0x238;xfs_vm_readahead+0x15;read_pages+0x85;page_cache_ra_order+0x2a1;page_cache_async_ra+0x166;filemap_readahead.isra.0+0x76;filemap_get_pages+0x32d;filemap_read+0x11c;generic_file_read_iter+0xbb;xfs_file_buffered_read+0xa9;xfs_file_read_iter+0xad;vfs_read+0x2ab;ksys_read+0x72;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
d994abb654b7a1ff,'folio_wait_bit_common+0x138;filemap_update_page+0x24c;filemap_get_pages+0x2f4;filemap_read+0x11c;generic_file_read_iter+0xbb;xfs_file_buffered_read+0xa9;xfs_file_read_iter+0xad;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
af0cf4036277c697,'sched_tick+0x128'
42b6178507b85c29,'filemap_read+0xcc;generic_file_read_iter+0xbb;xfs_file_buffered_read+0xa9;xfs_file_read_iter+0xad;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
d665895535534bc6,'nvme_submit_cmds.part.0+0x137'
